id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Segment,Silhouette
1,38,Female,99342,90,3,24,Groceries,113.53,3,0.09429890713440925
2,21,Female,78852,60,2,42,Sports,41.93,3,0.01706679916931795
3,60,Female,126573,30,2,28,Clothing,424.36,1,0.14650357596705624
4,40,Other,47099,74,9,5,Home & Garden,991.93,0,0.02423324908210688
5,65,Female,140621,21,3,25,Electronics,347.08,1,0.18067146735965375
6,31,Other,57305,24,3,30,Home & Garden,86.85,1,0.05307394128013056
7,19,Other,54319,68,5,43,Clothing,191.72,3,0.18409385450796956
8,43,Male,108115,94,9,27,Groceries,734.56,2,0.221461868685736
9,53,Male,34424,29,6,7,Sports,951.71,0,0.26338800896677306
10,55,Female,45839,55,7,2,Electronics,821.18,0,0.10653429557361235
11,23,Other,69659,16,7,24,Clothing,434.97,1,0.002642186872420089
12,68,Other,30058,91,1,49,Groceries,889.94,0,0.03469395565101161
13,29,Female,87461,81,3,27,Home & Garden,101.07,3,0.11023198002933049
14,64,Other,33018,46,4,3,Sports,221.35,3,0.06678395800981334
15,33,Male,112260,17,5,8,Home & Garden,915.89,0,0.1255325597549531
16,53,Male,129284,17,6,26,Clothing,225.4,1,0.2646966898393373
17,57,Male,102535,29,5,13,Clothing,378.47,1,0.12017238978679753
18,22,Male,41849,22,1,31,Sports,844.08,0,0.23072065977541006
19,37,Male,95491,90,6,21,Home & Garden,454.83,3,0.07428270581266065
20,31,Male,97103,70,3,17,Groceries,61.3,1,0.0002130460500341903
21,19,Female,82519,13,4,4,Home & Garden,742.39,0,0.12278083147539959
22,22,Male,49077,74,10,47,Home & Garden,799.31,2,0.015466182945527119
23,36,Other,85473,68,1,16,Sports,806.55,0,0.08331175017316543
24,41,Other,81758,87,7,9,Clothing,482.2,3,0.15987948511463873
25,69,Female,36140,78,5,39,Sports,508.86,3,0.10170374569165293
26,33,Other,141757,60,10,39,Groceries,83.27,1,0.059475710957236666
27,54,Male,35394,10,9,4,Groceries,124.29,3,0.01993062267441998
28,30,Female,50680,19,7,27,Sports,515.88,0,0.1138619228616947
29,18,Female,70721,78,7,1,Home & Garden,191.9,3,0.15593241454471027
30,23,Male,104106,30,4,20,Electronics,950.56,0,0.0854661699634033
31,36,Other,76756,16,8,27,Clothing,970.06,0,0.1449202192753374
32,60,Female,45733,69,2,18,Electronics,197.29,3,0.17647440868246894
33,29,Male,71951,2,6,47,Electronics,91.94,1,0.14823199034307835
34,44,Other,86593,89,4,37,Groceries,76.95,3,0.15518000696688464
35,45,Other,43138,54,10,48,Sports,639.22,3,0.014770605091442771
36,30,Female,73464,37,1,6,Clothing,532.51,0,0.0790566041469545
37,47,Male,108074,78,4,38,Electronics,128.2,1,0.001492368434588298
38,48,Other,81794,89,7,50,Electronics,967.99,2,0.22942645816940738
39,31,Female,75392,43,4,29,Sports,88.44,1,0.03475676852844661
40,22,Male,107057,14,5,41,Home & Garden,98.86,1,0.23672429903071537
41,23,Male,70723,31,1,48,Home & Garden,713.33,0,0.12760345363761671
42,52,Male,115529,70,2,34,Clothing,192.66,1,0.0976132270457897
43,35,Male,72179,6,6,45,Home & Garden,165.18,1,0.13696552509015691
44,28,Other,62405,79,5,50,Home & Garden,956.73,2,0.08722791472630612
45,50,Male,42404,45,4,31,Home & Garden,753.6,0,0.20867000484932524
46,49,Other,94531,28,5,42,Clothing,214.93,1,0.19368792131356657
47,56,Male,129005,40,6,8,Electronics,355.34,1,0.16469211600007555
